Borough,Year,MedianAnnualPay
Croydon,2014,31154.0
Croydon,2015,30628.0
Croydon,2016,31479.0
Croydon,2017,32109.0
Croydon,2018,33804.0
Croydon,2019,35654.0
Croydon,2020,34107.0
Croydon,2021,34911.0
Croydon,2022,38726.0
Croydon,2023,38696.0
Croydon,2024,43337.0
Croydon,2025,40033.0
Kingston upon Thames,2014,30768.0
Kingston upon Thames,2015,28635.0
Kingston upon Thames,2016,30729.0
Kingston upon Thames,2017,31308.0
Kingston upon Thames,2018,31784.5
Kingston upon Thames,2019,32261.0
Kingston upon Thames,2020,35268.0
Kingston upon Thames,2021,35713.0
Kingston upon Thames,2022,36203.0
Kingston upon Thames,2023,37469.0
Kingston upon Thames,2024,40719.0
Kingston upon Thames,2025,42346.0
Merton,2014,27539.0
Merton,2015,30040.0
Merton,2016,28224.0
Merton,2017,29627.0
Merton,2018,31182.0
Merton,2019,31741.0
Merton,2020,33114.0
Merton,2021,34210.0
Merton,2022,33980.0
Merton,2023,37158.0
Merton,2024,38736.0
Merton,2025,38471.0
Richmond upon Thames,2014,31533.0
Richmond upon Thames,2015,32660.0
Richmond upon Thames,2016,33329.0
Richmond upon Thames,2017,32141.0
Richmond upon Thames,2018,34027.0
Richmond upon Thames,2019,35390.0
Richmond upon Thames,2020,35575.0
Richmond upon Thames,2021,35651.0
Richmond upon Thames,2022,36888.0
Richmond upon Thames,2023,39523.0
Richmond upon Thames,2024,41536.0
Richmond upon Thames,2025,41037.0
Sutton,2014,25797.0
Sutton,2015,27355.0
Sutton,2016,28318.0
Sutton,2017,27945.0
Sutton,2018,28853.0
Sutton,2019,32999.0
Sutton,2020,35097.0
Sutton,2021,30763.0
Sutton,2022,35728.0
Sutton,2023,35588.0
Sutton,2024,39364.0
Sutton,2025,39874.0
Wandsworth,2014,31085.0
Wandsworth,2015,31968.0
Wandsworth,2016,33405.0
Wandsworth,2017,33137.0
Wandsworth,2018,34501.0
Wandsworth,2019,34814.0
Wandsworth,2020,34791.0
Wandsworth,2021,33499.0
Wandsworth,2022,36434.0
Wandsworth,2023,39723.0
Wandsworth,2024,39999.0
Wandsworth,2025,43035.0
